
Chak De India 2007, Salim-Sulaiman|
Partner 2007, Sajid-Wajid|
Taare Zameen Par 2007, Shankar–Ehsaan–Loy|
Bhool Bhulaiyaa 2007, Pritam|Ranjit Barot|
Heyy Babyy 2007, Shankar-Ehsaan-Loy|
Guru 2007, A. R. Rahman|
Ghajini 2008, A. R. Rahman|
Rab Ne Bana Di Jodi 2008, Salim-Sulaiman|
Singh Is Kinng 2008, Pritam|
Race 2008, Pritam|Salim-Sulaiman|
Jodhaa Akbar 2008, A. R. Rahman|
Jaane Tu... Ya Jaane Na 2008, A. R. Rahman|
Golmaal Returns 2008, Pritam|
Dostana 2008, Vishal–Shekhar|Salim–Sulaiman|
Three Idiots 2009, Shantanu Moitra|
Love Aaj Kal 2009, Pritam|Salim-Sulaiman|
Ajab Prem Ki Ghazab Kahani 2009, Pritam|Salim-Sulaiman|
Wanted 2009, Sajid-Wajid|
Dabangg 2010, Sajid-Wajid|Lalit Pandit|Sandeep Shirodkar|
Golmaal 3 2010, Pritam|Sanjoy Chowdhury|
Raajneeti 2010, Pritam|Aadesh Shrivastava|Shantanu Moitra|
Housefull 2010, Shankar-Ehsaan-Loy|Sandeep Chowta|
My Name Is Khan 2010, Shankar-Ehsaan-Loy|
Tees Maar Khan 2010, Vishal-Shekhar|
Once Upon A Time In Mumbaai 2010, Pritam|Sandeep Shirodkar|
Kites 2010, Rajesh Roshan|Salim Sulaiman|
I Hate Luv Storys 2010, Vishal–Shekhar|Salim Sulaiman|[1]|
Anjaana Anjaani 2010, Vishal–Shekhar|Salim–Sulaiman|
Khatta Meetha 2010, Pritam|Shehzad Roy|Ouseppachan|
Veer (Hindi) 2010, 
